cnt_answer,gmv,sum_online_time,cnt_call,sum_online_time_lag,cnt_call_lag,cnt_finish,date,time
0.455469199,0.626290901,0.907715297,0.463237557,0,0,0.429911831,1,1
0.428065488,0.544851383,0.742208154,0.405229153,0.907715297,0.463237557,0.378164294,1,2
0.391012802,0.453195113,0.603473256,0.347776092,0.742208154,0.405229153,0.331311721,1,3
0.351793997,0.410322945,0.517061122,0.295034482,0.603473256,0.347776092,0.302479337,1,4
0.32155213,0.333107979,0.46335042,0.250957306,0.517061122,0.295034482,0.279475865,1,5
0.297137828,0.268442154,0.41408051,0.215405993,0.46335042,0.250957306,0.246685444,1,6
0.280614251,0.261184395,0.36722274,0.187619894,0.41408051,0.215405993,0.207863398,1,7
0.262657667,0.265207732,0.343250923,0.165797023,0.36722274,0.187619894,0.178736838,1,8
0.236507327,0.259582145,0.347003054,0.15092818,0.343250923,0.165797023,0.157828416,1,9
0.209800879,0.26056008,0.384943937,0.149929414,0.347003054,0.15092818,0.148096017,1,10
0.196071403,0.297094858,0.445508889,0.174559041,0.384943937,0.149929414,0.148831148,1,11
0.240014491,0.339986779,0.544489413,0.24261427,0.445508889,0.174559041,0.188535773,1,12
0.44288918,0.429886492,0.772283904,0.377461853,0.544489413,0.24261427,0.35080905,1,13
0.917686995,0.670383389,1.205301845,0.597457711,0.772283904,0.377461853,0.719810959,1,14
1.663242179,1.125982285,1.752381728,0.900292335,1.205301845,0.597457711,1.257575839,1,15
2.433400826,1.455702025,2.237633405,1.251422992,1.752381728,0.900292335,1.79283544,1,16
2.993767466,1.755843651,2.534905684,1.596464871,2.237633405,1.251422992,2.182394328,1,17
3.172593663,2.0367402,2.600515931,1.869692253,2.534905684,1.596464871,2.411833928,1,18
3.037625845,2.14984756,2.401364207,2.026904587,2.600515931,1.869692253,2.426591924,1,19
2.727889054,2.155206472,2.006074569,2.052623304,2.401364207,2.026904587,2.205103226,1,20
2.395298125,2.119570551,1.595370131,1.976689412,2.006074569,2.052623304,1.892095808,1,21
2.182229998,1.956739099,1.297274215,1.867980174,1.595370131,1.976689412,1.677149341,1,22
2.169098491,1.683220792,1.189087604,1.801876469,1.297274215,1.867980174,1.663183567,1,23
2.276920476,1.530725201,1.204623611,1.804403735,1.189087604,1.801876469,1.734935035,1,24
2.349580961,1.766006961,1.323369971,1.852423189,1.204623611,1.804403735,1.897858328,1,25
2.421266469,1.879132756,1.481986827,1.924598553,1.323369971,1.852423189,2.059162109,1,26
2.447656663,1.836869497,1.615145099,1.983923236,1.481986827,1.924598553,2.126326061,1,27
2.445512797,1.718288952,1.724296191,2.012062464,1.615145099,1.983923236,2.143613156,1,28
2.396424686,1.791027243,1.797003569,2.00179459,1.724296191,2.012062464,2.146092098,1,29
2.284698665,1.950655367,1.784421079,1.960634723,1.797003569,2.00179459,2.098071751,1,30
2.173806927,2.050986385,1.764085679,1.914071621,1.784421079,1.960634723,2.098889654,1,31
2.094381104,2.027284105,1.890344935,1.881050223,1.764085679,1.914071621,2.30643034,1,32
2.021550742,2.130673272,2.080684587,1.867148777,1.890344935,1.881050223,2.53564515,1,33
2.007454851,2.164050158,2.192769086,1.883693967,2.080684587,1.867148777,2.584964756,1,34
2.188603649,2.089549822,2.237051743,1.944889611,2.192769086,1.883693967,2.52099062,1,35
2.40252065,2.118883712,2.285248341,2.008124218,2.237051743,1.944889611,2.520641793,1,36
2.466409197,2.052657065,2.262527347,2.031455172,2.285248341,2.008124218,2.513775161,1,37
2.387118279,1.960856591,2.079020025,2.014132823,2.262527347,2.031455172,2.331312582,1,38
2.27030042,1.922874597,1.954374789,1.978170638,2.079020025,2.014132823,2.225521548,1,39
2.220546757,1.833117601,1.973824069,1.946775151,1.954374789,1.978170638,2.289707539,1,40
2.313660867,1.797042414,2.071901335,1.938727989,1.973824069,1.946775151,2.47186982,1,41
2.471865402,1.977978666,2.11998844,1.944856936,2.071901335,1.938727989,2.540312912,1,42
2.594355309,2.266637099,2.167056317,1.942394413,2.11998844,1.944856936,2.515078937,1,43
2.545527093,2.24334245,2.167310469,1.894048068,2.167056317,1.942394413,2.331851192,1,44
2.224629945,1.845796872,2.024311174,1.760928849,2.167310469,1.894048068,1.886631274,1,45
